City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
202,Jinchang,CN,38.4953,102.1739,45.36,15,100,7.72,overcast clouds
203,Avera,US,33.194,-82.5271,65.71,73,100,5.88,overcast clouds
204,Springbok,ZA,-29.6643,17.8865,60.49,47,11,3.11,few clouds
205,Souillac,MU,-20.5167,57.5167,76.89,83,79,18.21,light rain
206,Yemelyanovo,RU,56.1681,92.6767,34.61,60,0,4.47,clear sky
207,Mar Del Plata,AR,-38.0023,-57.5575,54.09,83,0,7.0,clear sky
208,Trairi,BR,-3.2778,-39.2689,77.09,88,46,5.46,scattered clouds
209,Puerto Colombia,CO,10.9878,-74.9547,80.69,78,98,29.06,overcast clouds
210,Yankton,US,42.8711,-97.3973,48.45,71,75,27.63,broken clouds
211,Sarangani,PH,5.4033,125.4636,82.98,78,37,20.22,scattered clouds
212,Toumodi,CI,6.5613,-5.0158,74.19,94,100,3.02,overcast clouds
213,Kavieng,PG,-2.5744,150.7967,84.29,72,15,10.47,light rain
214,Praia Da Vitoria,PT,38.7333,-27.0667,61.75,91,100,21.03,overcast clouds
215,Dicabisagan,PH,17.0818,122.4157,84.29,64,87,6.15,overcast clouds
216,Andrelandia,BR,-21.7397,-44.3092,64.13,95,46,0.67,scattered clouds
217,Tomatlan,MX,19.9333,-105.25,73.26,77,52,2.53,broken clouds
218,Biak,ID,-0.9131,122.8766,84.74,59,89,3.51,overcast clouds
219,Lorengau,PG,-2.0226,147.2712,84.94,69,6,7.14,clear sky
220,Harper,LR,4.375,-7.7169,79.05,88,100,8.84,moderate rain
221,Port Arthur,CN,38.8,121.2667,59.22,49,100,5.03,overcast clouds
222,Vila Velha,BR,-20.3297,-40.2925,76.95,91,83,4.88,broken clouds
223,Lodja,CD,-3.4833,23.4333,68.81,95,42,1.5,scattered clouds
224,Zarand,IR,30.8127,56.564,64.53,12,38,6.82,scattered clouds
225,Pisco,PE,-13.7,-76.2167,66.02,77,1,2.3,clear sky
226,Yumbe,UG,3.4651,31.2469,66.81,89,90,2.37,overcast clouds
227,Carnarvon,AU,-24.8667,113.6333,80.67,36,0,17.27,clear sky
228,Sapernoye,RU,60.7167,29.9505,33.66,96,100,3.18,overcast clouds
